Day,DO,COD_IN,COD_F,COD_OUT,Ammonia_IN,Ammonia_F,Ammonia_OUT,Nitrite_IN,Nitrite_F,Nitrite_OUT,Nitrate_IN,Nitrate_F,Nitrate_OUT,TIN_IN,TIN_OUT,TN_IN,TN_OUT,TON_IN,TON_OUT,COD/N,SS,VSS,Notes
36,0.18,330.58,27.55,99.17,253.04,81.73,66.38,0.13,0.16,0.78,1.13,41.52,38.8,254.3,123.41,322.15,129.87,67.85,6.46,1.03,,,
37,,264.46,93.66,93.66,251.74,63.7,50.49,0.17,0.25,2.59,3.89,31.83,21.83,255.79,95.78,269.19,97.12,13.4,1.34,0.98,,,
38,0.19,338.02,98.35,95.59,223.87,29.17,22.94,5.36,11.6,8.46,1.97,37.35,38.75,231.19,78.12,262.29,86.21,31.1,8.09,1.29,,,
39,0.2,271.43,85.71,73.02,230.82,49.17,46.47,1.41,0.49,1.61,2.67,31.16,32.08,234.9,80.82,260.53,81.99,25.63,1.17,1.04,,,
40,0.17,208.7,28.99,28.99,215.54,58.86,52,0.24,0.82,1.54,1.01,29.02,29.87,216.79,88.7,229.38,90.39,12.59,1.69,0.91,,,
41,0.17,220.29,46.38,23.19,253.84,77.09,66.7,0.26,0.29,1.17,0.7,42.09,39,254.8,119.47,255.21,117.52,0.41,-1.95,0.86,,,
42,0.21,230.09,70.8,59,225.11,51.74,51.36,0.14,0.55,1.07,2,47.92,46.44,227.25,100.2,253.69,121.44,26.45,21.24,0.91,,,
43,0.19,265.49,47.2,45.79,234.93,45.18,42.99,0.17,0.19,1.09,2.51,38.25,37.47,237.61,83.62,248.74,91.89,11.13,8.28,1.03,5.75,4.84,
44,0.18,199.79,52.78,44.25,229.06,35.71,31.49,0.17,0.3,1.29,2.56,22.72,19.3,231.79,58.73,246.55,62.1,14.76,3.37,0.81,,,
45,0.21,225.99,50.4,43.62,208.54,23.9,18.83,0.25,1.44,2.14,3.07,17.8,12.86,211.85,39.15,230.06,38.61,18.21,-0.54,0.98,,,
46,0.21,248.59,79.1,50.85,252.89,29.86,23.8,0.09,0.89,1.35,0.31,24.5,22.76,253.29,55.26,264.33,60.78,11.04,5.53,0.94,,,
47,0.19,317.46,68.38,73.26,249.58,35.92,27.61,0.07,0.05,1.36,0.64,22.27,20.07,250.3,58.24,257.54,56.88,7.24,-1.36,1.23,,,
48,0.17,315.02,68.38,63.49,242.26,37.88,32,0.14,0.77,1.25,1.08,19.62,13.67,243.49,58.27,264.37,73.25,20.88,14.98,1.19,,,
49,0.18,247.13,45.3,40.23,213.63,40.67,36.65,0.86,0.16,0.9,1.16,21.91,21.94,215.65,62.74,237.37,68.9,21.72,6.16,1.04,,,
50,0.18,243.43,40.4,53.03,235.39,40.28,35.77,0.24,0.28,1.7,1.67,26.93,22.02,237.3,67.48,249.75,71.2,12.45,3.72,0.97,,,
51,0.2,272.71,55.56,60.61,234.81,41.73,36.58,0.14,0.32,1.5,0.89,23.62,19.1,235.83,65.67,241.71,68.48,5.88,2.81,1.13,,,
52,0.22,287,53.81,55.87,232.91,23.47,17.4,0.1,0.36,1.21,1.22,39.34,34.02,234.23,63.17,245.18,64.62,10.95,1.45,1.17,6.1,5.16,
53,0.19,278.95,59.79,59.79,214.59,17.91,18.92,0.47,0.62,1.06,1.31,37.9,34.61,216.37,56.43,222.32,62.47,5.95,6.05,1.25,,,
54,0.2,308.75,65.95,65.95,239.56,40.59,33.39,0.18,0.21,1.37,0.92,29.48,25.56,240.66,70.28,255.88,73.57,15.22,3.29,1.21,,,
55,0.18,275.78,86.93,65.95,235.56,38.82,25.67,0.11,0.6,1.31,0.85,29.47,26.68,236.52,68.89,250.77,71.83,14.25,2.94,1.1,,,
56,0.19,304.72,69.93,64.94,240.91,40.52,33.02,0.13,0.26,1.7,0.89,16.7,14.02,241.93,57.48,250.49,62.66,8.56,5.18,1.22,,,
57,0.18,257.13,52.3,47.23,223.63,32.67,25.65,0.76,0.18,1,1.04,24.91,21.94,225.43,57.76,242.37,56.9,16.94,-0.86,1.06,6.31,5.39,
