,anammox_inhibition_factor,cod_anaerobic_digestion_inhibition_factor,Ammonia_OUT,Nitrite_OUT,Nitrate_OUT
0,0.0,0.0,0.531830377592706,0.8859112261130387,0.30046411452083227
1,0.0,0.01,0.5296871389680917,0.8875840067091183,0.31393032817884886
2,0.0,0.02,0.5276234231333687,0.8892008679076266,0.32739242360437354
3,0.0,0.03,0.5256349645960465,0.8907645130772662,0.3408283966678486
4,0.0,0.04,0.5237177997478436,0.8922774709381092,0.3542191489574625
5,0.0,0.05,0.5218682397883752,0.8937421103705395,0.3675481324125269
6,0.0,0.06,0.5200828466653484,0.8951606535738535,0.38080103984229946
7,0.0,0.07,0.5183584116204953,0.8965351878126883,0.39396553491780345
8,0.0,0.08,0.5166919359971338,0.8978676759468088,0.4070310161963565
9,0.0,0.09,0.5150806140198028,0.8991599659061114,0.4199884105512661
10,0.0,0.1,0.5135218173007537,0.9004137992459407,0.43282999206096245
11,0.0,0.2,0.5003468970224023,0.9111577338715556,0.5538713638949665
12,0.0,0.3,0.49044419774707604,0.9194101648078811,0.6605387031675842
13,0.0,0.4,0.4827490340095775,0.9259311740110079,0.7536066098075389
14,0.0,0.5,0.4766092108767429,0.9312037758701551,0.834794034894103
15,0.0,0.6,0.4716038374655915,0.9355488004345651,0.9058793626129086
16,0.0,0.7,0.467449757355757,0.9391871502006496,0.9684437457980383
17,0.0,0.8,0.4639498475738367,0.9422755663338486,1.0238213940369705
18,0.0,0.9,0.4609628800433947,0.944928149151374,1.0731162193372685
19,0.0,1.0,0.45838516232701987,0.94722981466357,1.1172360516036566
20,0.05,0.0,0.41329630949918555,0.8136466466889593,0.26673895490903365
21,0.05,0.01,0.41121327993717655,0.8151994238063136,0.279440213601129
22,0.05,0.02,0.4092039142842819,0.8167046814413479,0.2921932548055096
23,0.05,0.03,0.40726429763477073,0.8181646493459568,0.30497182677555634
24,0.05,0.04,0.4053907985157155,0.8195814092683319,0.31775296722051544
25,0.05,0.05,0.4035800422820538,0.8209569084234849,0.3305166071868625
26,0.05,0.06,0.40182888764787933,0.8222929713272927,0.34324522576918154
27,0.05,0.07,0.40013440590163457,0.8235913102485701,0.3559235485711915
28,0.05,0.08,0.39849386243119184,0.8248535344855756,0.36853828390721605
29,0.05,0.09,0.39690470024616636,0.8260811586357192,0.3810778916300558
30,0.05,0.1,0.39536452523574794,0.8272756099976859,0.3935323802221271
31,0.05,0.2,0.3822238358190281,0.8376588002594001,0.5120034327054802
32,0.05,0.3,0.3721774554815521,0.8458391537843902,0.6176339901857255
33,0.05,0.4,0.36424981446182925,0.8524506233245666,0.7104953383058934
34,0.05,0.5,0.35783719364213135,0.8579039342409718,0.7919392752639701
