ID,Mins,NO2--N,COD
A0,0,8.531,142.123
A1,42,7.155,125.402
A2,117,5.265,117.724
A3,151,4.202,111.016
A4,196,3.155,108.431
A5,220,2.695,105.256
A6,252,1.932,99.705
A7,264,1.689,98.831
A8,282,1.134,93.65
A9,301,0.64,91.213
A10,329,0.465,88.591
A11,340,0.243,84.407
A12,352,0.143,78.61
