ID,Mins,NO2--N,COD
B0,0,8.085,139.769
B1,42,6.515,126.653
B2,117,4.322,107.754
B3,151,3.397,105.121
B4,196,2.555,98.277
B5,220,1.652,98.019
B6,252,1.074,89.625
B7,264,0.72,88.813
B8,282,0.532,84.899
B9,301,0.305,81.416
B10,329,0.108,78.794
B11,340,0.004,72.271
B12,352,0.001,69.232
