ID,Mins,NH4+-N,NO2--N,NO3--N
C0,0,29.864,0.35,0.432
C1,20,24.956,4.1,1.444
C2,71,16.715,12.15,1.99
C3,101,12.545,16.03,3.042
C4,127,8.33,19.05,4.107
C5,138,7.422,20.02,4.351
C6,146,6.545,20.84,4.439
C7,153,5.5,21.09,5.105
C8,160,4.844,21.37,5.153
C9,166,4.246,21.89,5.231
C10,174,3.564,22.3,5.296
C11,181,2.8,22.82,5.483
