ID,Mins,NH4+-N,NO2--N,NO3--N
A0,0,29.596,0.33,0.417
A1,20,23.876,4.34,2.042
A2,71,15.75,12.98,2.429
A3,101,12.035,15.61,5.384
A4,127,7.54,17.64,6
A5,138,6.767,18.5,6.401
A6,146,5.727,20.43,6.327
A7,153,5.001,20.85,6.269
A8,160,4.1,21.48,6.588
A9,166,3.846,21.67,6.544
A10,174,2.922,21.91,7.005
A11,181,2.29,22.09,7.508
