,Time,Concentration
0,0,4.0
1,5,3.905581636463692
2,10,3.8157812171807644
3,15,3.7153225997508033
4,20,3.64341243479977
5,25,3.5275778317086437
6,30,3.4589354729347566
7,35,3.3711083211289474
8,40,3.26991712669065
9,45,3.1906294463482525
10,50,3.081989647581256
11,55,3.018450435169779
12,60,2.9251113790817795
13,65,2.8242835350964297
14,70,2.7394876466963134
15,75,2.6501946233535096
16,80,2.571520452975459
17,85,2.48453223322323
18,90,2.3880905628107816
19,95,2.297609404769952
20,100,2.2145997145771417
21,105,2.1192183938233327
22,110,2.0474452475602836
23,115,1.9619607136471335
24,120,1.8755314124663158
25,125,1.7857210443929967
26,130,1.7092527566148108
27,135,1.6228724857291401
28,140,1.5483906297807706
29,145,1.458400482833306
30,150,1.3775682461100978
31,155,1.2992985452808308
32,160,1.2255682865224338
33,165,1.152890039572714
34,170,1.070406700498267
35,175,0.9952095366920892
36,180,0.9282388001221908
37,185,0.8570004733054286
38,190,0.7836424592623311
39,195,0.718241983224339
40,200,0.6513231162194637
41,205,0.5904159755663024
42,210,0.5303411428144389
43,215,0.4703181175426504
44,220,0.4159855313424843
45,225,0.3623518166731831
46,230,0.3162651310463724
47,235,0.27038990328751256
48,240,0.2285675207338482
49,245,0.1928030449594266
50,250,0.15956233822561044
51,255,0.13042308371193795
52,260,0.1060868283829368
53,265,0.085742138645671
54,270,0.06802021626501879
55,275,0.053389160829546735
56,280,0.041773325143708934
57,285,0.03252649307133504
58,290,0.02518018925117392
59,295,0.019338706427086384
60,300,0.014789752880840631
