,Time,Concentration
0,0,4.0
1,5,3.827286397231543
2,10,3.702085843642829
3,15,3.639174165970697
4,20,3.8166263995518084
5,25,3.626378365639276
6,30,3.588666253982061
7,35,3.660095923822129
8,40,3.2758463509492457
9,45,3.067370644543654
10,50,3.021027110924547
11,55,2.935039767211663
12,60,2.748498657802335
13,65,2.752996773797775
14,70,2.6041255985757163
15,75,2.7488462272644325
16,80,2.6848335939999353
17,85,2.4804684288808225
18,90,2.284837490817807
19,95,2.215366390762291
20,100,2.2658771222050156
21,105,2.093122611431385
22,110,1.9966440768939389
23,115,2.031623271588963
24,120,1.7011673405885863
25,125,1.7948874044503804
26,130,1.7236596157068218
27,135,1.762965073441746
28,140,1.5730488957721367
29,145,1.4664042553542502
30,150,1.3767450457078034
31,155,1.3117977651155295
32,160,1.143189025009368
33,165,1.139210026916971
34,170,1.0505569740367828
35,175,0.9484568890889485
36,180,0.9588546144172027
37,185,0.8764386571617313
38,190,0.7920860273273711
39,195,0.6422007479420969
40,200,0.6465342999024766
41,205,0.6140533958181085
42,210,0.4996211142077746
43,215,0.4699995299844389
44,220,0.44489194835090395
45,225,0.39694184121390075
46,230,0.3423085440781871
47,235,0.2657760197051977
48,240,0.23747348387879058
49,245,0.20475861715959115
50,250,0.1690768936453368
51,255,0.1324936745808947
52,260,0.10998625568967199
53,265,0.08041572405218557
54,270,0.06371006269325687
55,275,0.051028623737377
56,280,0.04332163645552945
57,285,0.03093948774137314
58,290,0.025908624118228037
59,295,0.018981952229316052
60,300,0.013276316005823314
