,Time,Concentration
0,0,4.0
1,5,3.909020516981691
2,10,3.8138101997444043
3,15,3.7275769240975998
4,20,3.6371550894169413
5,25,3.5443342785679777
6,30,3.449565838221593
7,35,3.3623111275284314
8,40,3.2714706764451233
9,45,3.1793551318574593
10,50,3.092638768318761
11,55,3.003597143735327
12,60,2.913979651576574
13,65,2.8269000700832567
14,70,2.7369160101410435
15,75,2.6501691839782198
16,80,2.560387327831907
17,85,2.473919183058448
18,90,2.3844910469808687
19,95,2.3000308860792695
20,100,2.212573139914437
21,105,2.1269190629851584
22,110,2.04370833138262
23,115,1.958096564823407
24,120,1.8749279963330538
25,125,1.7887496990556302
26,130,1.706613442646493
27,135,1.6251327019604371
28,140,1.5431583502424342
29,145,1.462118830483552
30,150,1.3833723826974809
31,155,1.3041191790629763
32,160,1.2257410358429186
33,165,1.1484900041263566
34,170,1.073592024813966
35,175,0.9995982534814772
36,180,0.9265693580844105
37,185,0.8548609994577596
38,190,0.7860117584814775
39,195,0.7186727485205494
40,200,0.6526183276944888
41,205,0.5891994129765181
42,210,0.5283052410329286
43,215,0.47025756067341257
44,220,0.41531100622368256
45,225,0.36336387719247065
46,230,0.31507165231993717
47,235,0.2701662162684285
48,240,0.22946333575339897
49,245,0.19228374988885702
50,250,0.15956400540544927
51,255,0.13093091756004627
52,260,0.10614141878152533
53,265,0.08527101888971952
54,270,0.06779113197964587
55,275,0.05344338090465842
56,280,0.041816095995407115
57,285,0.0324892856438534
58,290,0.02513732705560323
59,295,0.019338082231473118
60,300,0.01483738962737821
