,Time,Concentration
0,0,4.0
1,5,3.89504922893981
2,10,3.801393220965594
3,15,3.7112991401970383
4,20,3.634346029663372
5,25,3.5540057467895543
6,30,3.4602308697843
7,35,3.370556526977989
8,40,3.281891475088712
9,45,3.1985571328318776
10,50,3.071217829951667
11,55,2.986466629732729
12,60,2.9384764245577646
13,65,2.799828783333579
14,70,2.732775998112037
15,75,2.67495205088474
16,80,2.5527234167907165
17,85,2.4855023220788546
18,90,2.3854158757273556
19,95,2.2820130425863803
20,100,2.210651054738216
21,105,2.136261722694973
22,110,2.032107831962118
23,115,1.9517070286240714
24,120,1.8771892859923636
25,125,1.799757596730078
26,130,1.7097366875631574
27,135,1.6286263431120853
28,140,1.5359211351545232
29,145,1.4573592870894558
30,150,1.379197564663354
31,155,1.3052892982109818
32,160,1.2287084125111625
33,165,1.1528692065270487
34,170,1.0749796276718873
35,175,0.9996480605301059
36,180,0.9153996200751778
37,185,0.8606183207659486
38,190,0.7848233848444659
39,195,0.7182901742673484
40,200,0.6494182676006641
41,205,0.5869996523002973
42,210,0.5251633700098006
43,215,0.47040383061222013
44,220,0.4147290864120448
45,225,0.3640308673172228
46,230,0.31393736589020477
47,235,0.270448822498324
48,240,0.22864141627331186
49,245,0.19177247619405932
50,250,0.16024144138637259
51,255,0.1320234898727736
52,260,0.1048153355957228
53,265,0.08504327196978273
54,270,0.06745704739514784
55,275,0.053109074549921746
56,280,0.04164516688046056
57,285,0.03275956474222492
58,290,0.025199322933865013
59,295,0.019349673708125837
60,300,0.014672223922206263
