,Time,Concentration
0,0,4.0
1,5,3.9637305699555885
2,10,3.812589483607555
3,15,3.7179257084326167
4,20,3.6524131684690055
5,25,3.532316639017339
6,30,3.456311287926766
7,35,3.3440737529061786
8,40,3.3025347033543038
9,45,3.1711894467698793
10,50,3.1255712504706645
11,55,3.015710308830614
12,60,2.8873219125563043
13,65,2.811387351498676
14,70,2.6813737529609516
15,75,2.609077760831439
16,80,2.5301592940387816
17,85,2.508027393763797
18,90,2.327404888010304
19,95,2.283448161934855
20,100,2.2537781948592444
21,105,2.1052316669191495
22,110,2.0239497032023914
23,115,1.9433065484661334
24,120,1.8691739126484614
25,125,1.8177870993017125
26,130,1.6803932288864503
27,135,1.6216324418752062
28,140,1.5396436686010935
29,145,1.4762750231688129
30,150,1.3632516797180292
31,155,1.3236606756899298
32,160,1.2280094004683475
33,165,1.1353650572967686
34,170,1.0730369146801366
35,175,0.9928436398406769
36,180,0.945364736563729
37,185,0.8475328924072041
38,190,0.7880363348196598
39,195,0.7169507258806985
40,200,0.6544415495270186
41,205,0.589983423716589
42,210,0.5165027829319135
43,215,0.4772017619581456
44,220,0.41706412691521993
45,225,0.35708825920365334
46,230,0.3181719726897558
47,235,0.26970862445643523
48,240,0.22923185182126213
49,245,0.1953670398963823
50,250,0.15820859653497846
51,255,0.13066554261054888
52,260,0.10603240506605954
53,265,0.08450147605122857
54,270,0.06918573304315263
55,275,0.054432731681721476
56,280,0.042011401932074206
57,285,0.032317933230188924
58,290,0.025083974377628982
59,295,0.019178827001073758
60,300,0.014828166641900115
