,Time,Concentration
0,0,4.0
1,5,3.9084514937051154
2,10,3.8170300519283353
3,15,3.7252861620069533
4,20,3.6340902201200183
5,25,3.543811538738028
6,30,3.4528967651819515
7,35,3.362265036677951
8,40,3.2726877697676464
9,45,3.182641397960114
10,50,3.092925139980384
11,55,3.003145794370886
12,60,2.9143477136993807
13,65,2.825685004181585
14,70,2.7369494682554496
15,75,2.6487232240746756
16,80,2.560698338667971
17,85,2.4731859056903494
18,90,2.3863012336142106
19,95,2.299291908544052
20,100,2.213266188901693
21,105,2.127465424589891
22,110,2.0420731152169904
23,115,1.9572388355897805
24,120,1.8733309197862262
25,125,1.7895362597049105
26,130,1.7065803712007523
27,135,1.6242873057316873
28,140,1.5429763223429696
29,145,1.4619655795929423
30,150,1.38237825316604
31,155,1.303441785489212
32,160,1.2256682982519551
33,165,1.1491005422811398
34,170,1.0737045308218802
35,175,0.99930019101106
36,180,0.9266184024612936
37,185,0.8553599975682933
38,190,0.785790555502927
39,195,0.7182282248061598
40,200,0.6525606169722296
41,205,0.5894076084170343
42,210,0.5285766789713429
43,215,0.47046497524729697
44,220,0.4153782983539429
45,225,0.36343186628994034
46,230,0.3149621248257445
47,235,0.27020585506238776
48,240,0.22930811638649395
49,245,0.19241541802868792
50,250,0.15960785255083637
51,255,0.13094134998889975
52,260,0.10623530830952232
53,265,0.0852918799080293
54,270,0.0678099090686147
55,275,0.0534596381627909
56,280,0.04182352992385248
57,285,0.03251390568659389
58,290,0.025137388912127575
59,295,0.019344813151467813
60,300,0.014839862108373915
