,Time,Concentration
0,0,4.0
1,5,3.909333551198299
2,10,3.822369506127307
3,15,3.7252020017724177
4,20,3.6275362600928354
5,25,3.545400894428162
6,30,3.4551538115490485
7,35,3.361654577632883
8,40,3.2763701001963073
9,45,3.175418535094437
10,50,3.0965907379274435
11,55,3.0006355698778417
12,60,2.911514641148807
13,65,2.819763664812201
14,70,2.7339103648609586
15,75,2.6492174957592622
16,80,2.558880170066127
17,85,2.469807329392975
18,90,2.383979711053229
19,95,2.2970537273310367
20,100,2.214849658947382
21,105,2.1250865396612233
22,110,2.044293725575918
23,115,1.9603024303814927
24,120,1.8687120361403293
25,125,1.7913834598363336
26,130,1.7072963286427045
27,135,1.6265608567074366
28,140,1.542843863113741
29,145,1.4611143629890855
30,150,1.3828148591880334
31,155,1.3048943680380496
32,160,1.2249238025902465
33,165,1.1485379978262842
34,170,1.0724607261076904
35,175,0.997671886856924
36,180,0.9266570911577473
37,185,0.8573029517610004
38,190,0.7851744131570771
39,195,0.7199267955502734
40,200,0.6528063168862231
41,205,0.5913473244032592
42,210,0.5280625977214247
43,215,0.4705601058182821
44,220,0.4154514106914886
45,225,0.36315726961892736
46,230,0.31464783356933856
47,235,0.2694536083167708
48,240,0.22945325134581124
49,245,0.19233112300781507
50,250,0.1597673217106171
51,255,0.13094969076272667
52,260,0.10626966797389632
53,265,0.08537323710922351
54,270,0.06776206940958135
55,275,0.053531838943333604
56,280,0.04181410298248201
57,285,0.03249452440080255
58,290,0.025093463371409896
59,295,0.019344771474199173
60,300,0.014826908131633721
