mean_ObjV,Best_ObjV
0.341505925734679,0.00018395426317897406
0.07909058481538261,0.00018367962789064902
0.00868841172059718,0.00018367962789064902
0.0010106192638773739,0.00018367962789064902
0.0004911631717602731,0.00017882978208789036
0.00036706013623410196,0.00017882978208789036
0.00024933486862044313,0.00010480299926717979
0.00018793474290909325,0.00010480299926717979
0.00018080958436511612,6.4921503679541e-05
0.00017821202337919964,6.4921503679541e-05
0.00017486595844767565,6.4921503679541e-05
0.00016820129101247403,5.002276575326357e-05
0.0001565063241074422,4.0429325397652476e-05
0.0001385215952611663,4.0154952770489215e-05
0.00010530895487498284,2.9216689942545078e-05
7.349207136301025e-05,2.8590352922481108e-05
5.529901652881014e-05,2.8590352922481108e-05
4.3928510481883846e-05,2.532870020797863e-05
3.7210575449534965e-05,2.532870020797863e-05
3.502432005677365e-05,2.532870020797863e-05
2.9947062006701473e-05,2.532222994472484e-05
2.849423735693887e-05,2.532222994472484e-05
2.7850112547512098e-05,2.532222994472484e-05
2.707733535411897e-05,2.532051050877891e-05
2.634506331102725e-05,2.532051050877891e-05
2.5449062683944342e-05,2.532051050877891e-05
2.533509391319029e-05,2.532051050877891e-05
2.5325179776609376e-05,2.5320494365353844e-05
2.5322974472239754e-05,2.5320494365353844e-05
2.5321523119349894e-05,2.5320494365353844e-05
2.5321067716468274e-05,2.5320494365353844e-05
2.5320636504697407e-05,2.5320494365353844e-05
2.5320507764396662e-05,2.5320494365353844e-05
2.532050615005415e-05,2.5320494365353844e-05
2.532050211419788e-05,2.5320494365353844e-05
2.5320497109736104e-05,2.5320494365353844e-05
2.5320494365353844e-05,2.5320494365353844e-05
2.5320494365353844e-05,2.5320494365353844e-05
2.5320494365353844e-05,2.5320494365353844e-05
2.5320494365353844e-05,2.5320494365353844e-05
2.5300687028487003e-05,2.3339760678669896e-05
2.528039148280251e-05,2.329093979690439e-05
2.528039148280251e-05,2.329093979690439e-05
2.5260584145935672e-05,2.329093979690439e-05
2.5220481263384334e-05,2.329093979690439e-05
2.5127818092236612e-05,2.320684950586932e-05
2.493696250536341e-05,2.320684950586932e-05
2.4547258082091997e-05,2.2955291086385982e-05
2.4009742399590744e-05,2.2918842108858106e-05
2.334409689343912e-05,2.2811203348012476e-05
2.3231979034975542e-05,2.2811203348012476e-05
2.317578031600458e-05,2.2811203348012476e-05
2.3105222300104865e-05,2.2811203348012476e-05
2.301535813833576e-05,2.2811203348012476e-05
2.292666157397228e-05,2.2740869350902863e-05
2.287748099447635e-05,2.2740869350902863e-05
2.284360045862422e-05,2.2740869350902863e-05
2.2800670352265466e-05,2.2740869350902863e-05
2.278586314069614e-05,2.2740869350902863e-05
2.2768265378306667e-05,2.2740869350902863e-05
2.274892495541273e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
2.274086935090286e-05,2.2740869350902863e-05
