μmax,Ks,best_ObjV
0.02028571428571429,0.3742354880058597,0.00029595157791687936
0.018285714285714287,0.3249587987548068,0.0003129156277713566
0.02028571428571429,0.3742354880058597,0.00029595157791687936
0.020666666666666667,0.3829152169932247,0.00029649701740112547
0.02,0.3671488738326314,0.0002962385958903083
0.01838095238095238,0.3249587987548068,0.0003130316781709527
0.02219047619047619,0.4186778978209119,0.00030820663358157625
0.020666666666666667,0.3829152169932247,0.00029649701740112547
0.02028571428571429,0.37407068302508706,0.00029595004115815963
0.020666666666666667,0.3829152169932247,0.00029649701740112547
