ID,Mins,NH4+-N,NO2--N,NO3--N
A0,0,24.802,9.8,0.413
A1,26,24.124,8.621,0.524
A2,81,22,5.683,1.235
A3,131,19.931,3.295,1.659
A4,156,19.374,2.214,2.026
A5,173,18.623,1.43,2.159
A6,189,18.292,0.877,2.24
A7,201,17.707,0.562,2.278
A8,213,17.5,0.221,2.598
A9,225,17.43,0.135,2.568
