ID,Mins,NH4+-N,NO2--N,NO3--N
B0,0,23.028 ,9.503 ,0.500 
B1,26,22.050 ,8.280 ,0.961 
B2,81,20.525 ,5.601 ,0.986 
B3,131,19.391 ,3.575 ,1.251 
B4,156,18.826 ,2.682 ,1.360 
B5,173,18.499 ,2.173 ,1.655 
B6,189,18.017 ,1.582 ,1.845 
B7,201,17.453 ,1.011 ,2.025 
B8,213,17.178 ,0.577 ,2.086 
B9,225,17.366 ,0.380 ,2.037 
,,,,
