ID,Mins,NH4+-N,NO2--N,NO3--N
E0,0,24.430 ,8.015 ,0.380 
E1,38,23.000 ,6.875 ,0.723 
E2,77,21.821 ,4.912 ,0.785 
E3,109,20.800 ,3.350 ,1.470 
E4,129,20.160 ,2.528 ,1.635 
E5,151,19.580 ,1.680 ,1.890 
E7,183,18.760 ,0.459 ,2.230 
E8,193,17.445 ,0.375 ,2.267 
E9,203,17.174 ,0.235 ,2.283 
E10,213,17.136 ,0.105 ,2.306 
