mean_ObjV,Best_ObjV
0.012859790261918963,0.0002504856131583042
0.0010932227989079554,0.0002504856131583042
0.000754449565957894,0.0002504856131583042
0.000591377262564863,0.0002504856131583042
0.00042373213252365043,0.00013478586837429294
0.00031584040457980473,0.00012517094091945712
0.00026077768206051637,0.00010515224874150581
0.00023509552729525338,0.00010515224874150581
0.00019299228973669618,9.307734150605688e-05
0.00014361435183726285,9.307734150605688e-05
0.00012452575049997014,9.307734150605688e-05
0.00011145814977031566,9.030371923016729e-05
0.00010145632179518484,8.138585252063556e-05
9.503898358680362e-05,8.138585252063556e-05
9.096978608621958e-05,8.138585252063556e-05
8.839141659365747e-05,8.138585252063556e-05
8.59623836185437e-05,7.751439544617935e-05
8.362311567384315e-05,7.751439544617935e-05
8.207313372647355e-05,7.561250123168304e-05
8.114599980725613e-05,7.561250123168304e-05
8.01153990890121e-05,7.561250123168304e-05
7.851753864704649e-05,7.334429789633541e-05
7.752366063175488e-05,7.334429789633541e-05
7.654485822722098e-05,7.05302318458758e-05
7.586566608550792e-05,7.038301137357933e-05
7.522173042630924e-05,7.038301137357933e-05
7.453638053719237e-05,7.038301137357933e-05
7.31858717506678e-05,6.97514968767478e-05
7.21389502157717e-05,6.950942968207665e-05
7.14840077306967e-05,6.948826747831471e-05
7.099152663248905e-05,6.948826747831471e-05
7.042529388815542e-05,6.948826747831471e-05
7.001251453145066e-05,6.948826747831471e-05
6.96487929074656e-05,6.94880337210963e-05
6.95282518905636e-05,6.94836621757894e-05
6.95038837447768e-05,6.947673305033469e-05
6.949138753451941e-05,6.945401775396682e-05
6.948671392841868e-05,6.945401775396682e-05
6.948482924461243e-05,6.945401775396682e-05
6.948297651445432e-05,6.945401775396682e-05
6.947954222534012e-05,6.945059983336521e-05
6.947624063058688e-05,6.945059983336521e-05
6.94731336567487e-05,6.945059983336521e-05
6.94690796827938e-05,6.945059983336521e-05
6.946489883613768e-05,6.945059983336521e-05
6.945850223917517e-05,6.945059983336521e-05
6.945358462481999e-05,6.945059983336521e-05
6.945195872937441e-05,6.944933152766252e-05
6.9450961415356e-05,6.944933152766252e-05
6.94505491011371e-05,6.944933152766252e-05
6.945052065578215e-05,6.944775529787149e-05
6.94504952896681e-05,6.944775529787149e-05
6.945046992355406e-05,6.944775529787149e-05
6.945044455744e-05,6.944775529787149e-05
6.9450390745971e-05,6.944775529787149e-05
6.945032425144498e-05,6.944775529787149e-05
6.945019434163383e-05,6.944775529787149e-05
6.945004866952477e-05,6.944775529787149e-05
6.944959910352449e-05,6.944775529787149e-05
6.944913317642322e-05,6.944775529787149e-05
6.944885183617304e-05,6.944775529787149e-05
6.944858983693909e-05,6.944775529787149e-05
6.9448239655109e-05,6.944775529787149e-05
6.944787712225707e-05,6.944775529787149e-05
6.944775529787149e-05,6.944775529787149e-05
6.944775529787149e-05,6.944775529787149e-05
6.944775529787149e-05,6.944775529787149e-05
6.944775212320977e-05,6.944743783169978e-05
6.944774894854805e-05,6.944743783169978e-05
6.944774894854805e-05,6.944743783169978e-05
6.944774259922461e-05,6.944743783169978e-05
6.944773624990119e-05,6.944743783169978e-05
6.944772990057775e-05,6.944743783169978e-05
6.944771094058787e-05,6.944712476454944e-05
6.944767293262769e-05,6.944712476454944e-05
6.944763805533902e-05,6.944712476454944e-05
6.944753046876236e-05,6.944712476454944e-05
6.944740379022516e-05,6.944712476454944e-05
6.944733451954016e-05,6.944712476454944e-05
6.944724373006657e-05,6.944712476454944e-05
6.944715294059297e-05,6.944712476454944e-05
6.944712476454944e-05,6.944712476454944e-05
6.944712476454944e-05,6.944712476454944e-05
6.944712476454944e-05,6.944712476454944e-05
6.944712476454944e-05,6.944712476454944e-05
6.944712476454944e-05,6.944712476454944e-05
6.944712476454944e-05,6.944712476454944e-05
6.944712476454944e-05,6.944712476454944e-05
6.944712476454944e-05,6.944712476454944e-05
6.944712476454944e-05,6.944712476454944e-05
6.944712476454944e-05,6.944712476454944e-05
6.944712476454944e-05,6.944712476454944e-05
6.944712476454944e-05,6.944712476454944e-05
6.944712476454944e-05,6.944712476454944e-05
6.944712476454944e-05,6.944712476454944e-05
6.944712476454944e-05,6.944712476454944e-05
6.944712476454944e-05,6.944712476454944e-05
6.944712476454944e-05,6.944712476454944e-05
6.944712476454944e-05,6.944712476454944e-05
6.944712476454944e-05,6.944712476454944e-05
