ID,Mins,NO2--N,NO3--N
E0,0,21.34,0.818
E1,24,20.461,2.327
E2,73,17.177,5.684
E3,121,13.973,8.786
E4,201,9.264,14.016
E5,261,5.102,18.177
E6,285,3.834,18.923
E7,319,1.727,20.452
E8,339,0.632,20.915
E9,355,0.063,22.215
E10,366,0.009,22.965
