ID,Mins,NO2--N,NO3--N
D0,0,19.025,0.757
D1,19,18.495,1.625
D2,64,16.19,3.915
D3,113,13.342,6.430
D4,144,12.105,8.132
D5,180,10.242,10.061
D6,242,6.203,13.018
D7,292,3.504,15.307
D8,327,1.951,17.227
D9,360,0.489,18.910
D10,390,0.015,19.182
