time,ammonia,nitrite,nitrate,COD
1,42.866736368106096,1.0441125788709007,37.4488393266615,44.3179773881185
2,42.746956610350395,1.0052347988141617,37.42579807143623,42.84885964023636
3,42.63028126491993,0.972547894956425,37.40109454881177,41.38230784488081
4,42.51634199680325,0.9452528392853805,37.37494439834224,39.917991987850385
5,42.40479237445755,0.9225948633209624,37.3475533199095,38.45560094349056
6,42.29531520910154,0.9038804952635866,37.319111824059576,36.994849342020245
7,42.18762663593616,0.8884873825603711,37.28979200216275,35.53548145868681
8,42.081477454764936,0.8758679642064128,37.259746070527406,34.077272585886035
9,41.97665239600139,0.8655484279890788,37.2291063117192,32.62002849079394
10,41.872967979504395,0.8571244225284517,37.19798600638419,31.163583566617465
11,41.77026954550481,0.8502548178685772,37.166480985878884,29.707798207660726
12,41.66842791012645,0.844654536592506,37.13467150644594,28.25255582394852
13,41.5673359682154,0.840087192014208,37.10262422442479,26.79775979303989
14,41.46690545309822,0.8363580176763946,37.070394123967056,25.34333054328693
15,41.367063974155116,0.8333073723632447,37.03802630710233,23.889202881415788
16,41.26775238893463,0.8308049589446702,37.00555759937673,22.435323618293005
17,41.168922523462385,0.8287447965680975,36.973017954197736,20.98164950699328
18,41.07053522770484,0.8270409238467441,36.940431658139765,19.528145482553523
19,40.972558738294026,0.8256237757015479,36.90781835061781,18.07478317893821
20,40.87496731379596,0.8244371598914638,36.875193876955414,16.621539692278386
21,40.77774010611186,0.8234357544615456,36.84257099588505,15.168396557720522
22,40.68086023295714,0.822583049624626,36.80995996231652,13.715338908321716
23,40.5843140193494,0.8218496637392916,36.77736900477468,12.262354787051974
24,40.488090379744186,0.8212119709502105,36.74480471486484,10.809434586269267
25,40.39218031631539,0.8206509864163402,36.71227236389054,9.356570592497427
26,40.29657651257063,0.8201514631154476,36.67977615954438,7.903756617663313
27,40.20127300484918,0.8197011615853519,36.64731945355888,6.450987700981471
28,40.106264917208016,0.8192902604742649,36.61490490938892,4.998259868347258
29,40.01154824774468,0.8189108813902047,36.582534637426456,3.5455699384026054
30,39.91711969656028,0.8185567063038881,36.55021030390871,2.092915366388498
31,39.82297652736755,0.8182226697501601,36.517933218555434,0.640294118531723
32,39.729054196739156,0.8202388552401122,36.51359001040619,0.0051045138888888885
33,39.6350630887488,0.8235945847315822,36.53240527168453,0.0051045138888888885
34,39.541026576960384,0.8263082829072996,36.551391601058725,0.0051045138888888885
35,39.447003006816786,0.8284945805081946,36.570507351579906,0.0051045138888888885
36,39.353039932897694,0.8302470125774388,36.58971857967333,0.0051045138888888885
37,39.25917619815485,0.8316421023012863,36.608997547067574,0.0051045138888888885
38,39.16544358101556,0.8327425901722101,36.62832153835774,0.0051045138888888885
39,39.071868109900706,0.833600007117274,36.647671920215195,0.0051045138888888885
40,38.97847111888745,0.8342567382189263,36.66703338780776,0.0051045138888888885
41,38.88527009994041,0.8347476869118945,36.686393357757765,0.0051045138888888885
42,38.79227939393305,0.8351016231297101,36.70574147682325,0.0051045138888888885
43,38.69951075300303,0.8353422795843227,36.7250692226667,0.0051045138888888885
44,38.60697379959239,0.8354892460621891,36.744369578380756,0.0051045138888888885
45,38.514676402099546,0.8355587008739833,36.76363676641584,0.0051045138888888885
46,38.42262498293481,0.835564010418212,36.78286603057429,0.0051045138888888885
47,38.33082477157935,0.8355162215264746,36.8020534570511,0.0051045138888888885
48,38.23928001276244,0.8354244663662242,36.82119582729916,0.0051045138888888885
49,38.147994137917124,0.835296295839196,36.840290496905425,0.0051045138888888885
50,38.05696990652758,0.8351379543787524,36.8593352957749,0.0051045138888888885
51,37.96620952274598,0.8349546066323627,36.87832844580345,0.0051045138888888885
52,37.875714731667145,0.8347505245787168,36.89726849292762,0.0051045138888888885
53,37.78548689885016,0.8345292420688012,36.91615425100953,0.0051045138888888885
54,37.69552707602877,0.8342936825178183,36.934984755473565,0.0051045138888888885
55,37.60583605542766,0.834046264449258,36.95375922498708,0.0051045138888888885
56,37.516414414671075,0.8337889887565785,36.972477029779625,0.0051045138888888885
57,37.42726255392095,0.8335235108648525,36.9911376654452,0.0051045138888888885
58,37.33838072659345,0.8332512004151329,37.00974073127498,0.0051045138888888885
59,37.24976906476707,0.8329731906350007,37.0282859123338,0.0051045138888888885
60,37.16142760020109,0.8326904191812005,37.04677296463367,0.0051045138888888885
61,37.07335628172327,0.8324036619294116,37.065201702866744,0.0051045138888888885
62,36.98555498961503,0.8321135609300927,37.0835719902573,0.0051045138888888885
63,36.89802354751148,0.831820647538018,37.101883730165,0.0051045138888888885
64,36.81076173224603,0.8315253615487107,37.120136859137965,0.0051045138888888885
65,36.72376928199416,0.8312280670309559,37.138331341165866,0.0051045138888888885
66,36.637045903009714,0.8309290654254801,37.156467162925075,0.0051045138888888885
67,36.55059127519655,0.8306286063814847,37.17454432984488,0.0051045138888888885
68,36.46440505671673,0.8303268967213425,37.192562862854054,0.0051045138888888885
69,36.37848688780125,0.8300241078564208,37.21052279568913,0.0051045138888888885
70,36.29283639390074,0.8297203819213184,37.228424172668355,0.0051045138888888885
71,36.20745318829062,0.8294158368477019,37.24626704685065,0.0051045138888888885
72,36.12233687422451,0.8291105705607779,37.26405147851282,0.0051045138888888885
73,36.03748704671365,0.8288046644499115,37.28177753389101,0.0051045138888888885
74,35.952903293997586,0.8284981862387251,37.29944528413959,0.0051045138888888885
75,35.868585198759,0.8281911923584393,37.31705480447086,0.0051045138888888885
76,35.7845323391269,0.8278837299102781,37.334606173443554,0.0051045138888888885
77,35.70074428950485,0.8275758382879831,37.35209947237538,0.0051045138888888885
