μmax,Ks,best_ObjV
0.02019047619047619,0.37280717817249587,3.635485941556727e-08
0.020095238095238097,0.3706097784288592,5.043767794315573e-08
0.02019047619047619,0.37280717817249587,3.635485941556727e-08
0.02019047619047619,0.37280717817249587,3.635485941556727e-08
0.02219047619047619,0.41966672770554847,1.3845204934091515e-05
0.020476190476190474,0.38126716718549714,6.01737946372906e-07
0.02266666666666667,0.43752060062259657,2.2740869350902863e-05
0.02028571428571429,0.3750045779161326,8.885674601876083e-08
0.020666666666666667,0.3838491118842703,9.470238130859985e-07
0.02028571428571429,0.3741805530122688,1.3570965476543382e-07
