Mins,NH4+-N,NO2--N,NO3--N,COD
0,62.164,42.282,0.63,204.223
26,59.001,32.944,0.534,181.515
59,57.834,28.273,0.479,166.155
129,54.84,19.455,0.427,134.364
185,47.296,11.767,0.327,120.924
235,46.374,5.462,0.21,108.665
252,44.429,2.16,0.184,86.696
268,44.878,0.525,0.103,85.644
