Mins,NH4+-N,NO2--N,NO3--N,COD
0,61.35,41.093,1.278,218.918
26,59.401,32.537,1.23,196.506
59,56.732,28.609,1.271,181.921
129,52.774,17.52,0.992,154.155
185,46.905,10.202,0.639,137.927
235,43.665,4.701,0.729,107.133
252,42.355,0.98,0.748,105.01
268,42.651,0.245,0.775,84.887
