μmax,Ks,best_ObjV
0.1503809523809524,0.19264481474699388,6.23848887544252e-05
0.15628571428571428,0.21097479094182994,6.386283667442575e-05
0.1502857142857143,0.19232741256180183,6.238453571459111e-05
0.15904761904761905,0.2250198376365745,6.602982894304086e-05
0.15904761904761905,0.2250198376365745,6.602982894304086e-05
0.15085714285714288,0.19454922785814563,6.240285839150146e-05
0.15009523809523811,0.1920100103766099,6.238760916979817e-05
0.15628571428571428,0.21105414148812793,6.386276715835374e-05
0.1502857142857143,0.19232741256180183,6.238453571459111e-05
0.15009523809523811,0.19177195873771594,6.238613689972292e-05
