mean_ObjV,Best_ObjV
0.3271715356212239,0.00034198457264144943
0.0749371550049916,3.066391330119037e-05
0.008683651070001379,3.066391330119037e-05
0.0008854671388021694,9.864081416187185e-06
0.000298093245551464,9.864081416187185e-06
0.00014841926205932235,9.864081416187185e-06
8.880528225293027e-05,2.093929401644274e-06
5.656144804989835e-05,2.093929401644274e-06
2.829282689213585e-05,6.180696759610024e-07
1.6953494764990572e-05,6.180696759610024e-07
9.115428196369606e-06,6.180696759610024e-07
4.5133432806997355e-06,6.180696759610024e-07
2.55393112438025e-06,4.855660913536197e-07
1.8977319482460753e-06,4.855660913536197e-07
1.5578712720107564e-06,4.806580751523253e-07
1.2760390329200526e-06,4.806580751523253e-07
1.0510317330703467e-06,4.650445373731266e-07
7.625882772875787e-07,4.650445373731266e-07
6.050097386790215e-07,4.650445373731266e-07
5.58477732488255e-07,4.650445373731266e-07
5.292311420368492e-07,4.650445373731266e-07
4.888147416029499e-07,4.5663262679126904e-07
4.77866931687306e-07,4.5663262679126904e-07
4.7605323577475924e-07,4.5663262679126904e-07
4.7208096438854664e-07,4.5663262679126904e-07
4.673927957901449e-07,4.54044383731489e-07
4.630958707593484e-07,4.54044383731489e-07
4.6113614017230904e-07,4.54044383731489e-07
4.5853965927927704e-07,4.54044383731489e-07
4.5596689551962225e-07,4.5334756863227736e-07
4.5557230123372384e-07,4.5334756863227736e-07
4.549006177035399e-07,4.5334756863227736e-07
4.544273965451448e-07,4.530493211009995e-07
4.5388257719577e-07,4.530493211009995e-07
4.5379423948445077e-07,4.530493211009995e-07
4.5363428720681247e-07,4.530493211009995e-07
4.534265556167016e-07,4.530493211009995e-07
4.533170367792893e-07,4.530493211009995e-07
4.5326118276848506e-07,4.530493211009995e-07
4.531986214004357e-07,4.530493211009995e-07
4.531211476558224e-07,4.530493211009995e-07
4.5305032702835693e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
4.5304932110099954e-07,4.530493211009995e-07
